Epoch,Train Loss,Train Accuracy,Validation Loss,Validation Accuracy
76,1.52779363061461,0.91272,1.608953162084652,0.824
77,1.5274359271349505,0.91098,1.6114053846914558,0.8242
78,1.5274320636563898,0.91278,1.6073098484473893,0.8188
79,1.526831819578205,0.91346,1.6091723864591574,0.8246
80,1.526225916869805,0.91408,1.6124769766119462,0.8224
81,1.5265519125077425,0.91366,1.6084832300113727,0.8208
82,1.525776114305267,0.91452,1.6077761106853243,0.821
83,1.524927183185392,0.91492,1.6113354646706883,0.8244
84,1.525073175844939,0.91518,1.6103299297863924,0.8232
85,1.5246589250881653,0.91792,1.610459726068038,0.825
86,1.5240319098353081,0.91674,1.6097923954830895,0.8224
87,1.5237491149121842,0.91766,1.6084167866767207,0.8242
88,1.5237285682307484,0.91814,1.6085492870475673,0.823
89,1.5240702129081083,0.91694,1.6078549155706092,0.8242
90,1.523056654674013,0.9192,1.6059442834009099,0.8278
91,1.5231370072230659,0.91988,1.6089013980913767,0.8244
92,1.5229702532443854,0.91856,1.6084840026082872,0.8246
93,1.523146939094719,0.9189,1.6110179273388054,0.8274
94,1.5227008048835617,0.91914,1.6119220588780656,0.8168
95,1.5225212702056026,0.91822,1.6111902164507517,0.8214
96,1.5223744970453366,0.92032,1.609203676634197,0.8218
97,1.5221806792042138,0.92112,1.6127079830893987,0.8244
98,1.5221757035121284,0.92056,1.608339526985265,0.8316
99,1.5224943819558223,0.9188,1.611141349695906,0.8198
100,1.522116209844799,0.92106,1.6102163580399524,0.8274
