Class,Image,Epsilon,Attack,Euclidean Distance,Cosine Similarity,Accuracy
9,N/A,N/A,Original,N/A,N/A,0.6000000238418579
9,0,0.001,FGSM,3.1563620567321777,0.7350013256072998,0.0
9,1,0.001,FGSM,1.9182275533676147,0.7802231311798096,0.0
9,2,0.001,FGSM,2.265991687774658,0.756668210029602,0.0
9,3,0.001,FGSM,2.228947162628174,0.797200083732605,0.0
9,4,0.001,FGSM,0.17358329892158508,0.9981287717819214,0.0
9,0,0.01,FGSM,3.181023359298706,0.7274348139762878,0.0
9,1,0.01,FGSM,1.9887043237686157,0.7883825302124023,0.0
9,2,0.01,FGSM,2.6485395431518555,0.7521083950996399,0.0
9,3,0.01,FGSM,2.1184487342834473,0.7983008623123169,0.0
9,4,0.01,FGSM,0.9083523154258728,0.9721813201904297,0.0
9,0,0.05,FGSM,3.1084258556365967,0.7329443693161011,0.0
9,1,0.05,FGSM,2.4788644313812256,0.7394979596138,0.0
9,2,0.05,FGSM,3.0300488471984863,0.7143033146858215,0.0
9,3,0.05,FGSM,1.9079843759536743,0.785768985748291,0.0
9,4,0.05,FGSM,2.5366601943969727,0.8338072896003723,0.0
9,0,0.1,FGSM,3.2135796546936035,0.7267004251480103,0.0
9,1,0.1,FGSM,2.9588403701782227,0.6893738508224487,0.0
9,2,0.1,FGSM,3.4636118412017822,0.6707590818405151,0.0
9,3,0.1,FGSM,1.8791844844818115,0.7730816602706909,0.0
9,4,0.1,FGSM,2.9510631561279297,0.7841284275054932,0.0
9,0,0.3,FGSM,3.357304573059082,0.6557468771934509,0.20000000298023224
9,1,0.3,FGSM,2.751190185546875,0.655610978603363,0.20000000298023224
9,2,0.3,FGSM,3.84222412109375,0.6278792023658752,0.20000000298023224
9,3,0.3,FGSM,3.144967794418335,0.40417975187301636,0.20000000298023224
9,4,0.3,FGSM,2.5310542583465576,0.7027726173400879,0.20000000298023224
9,0,0.5,FGSM,2.7795450687408447,0.5650055408477783,0.0
9,1,0.5,FGSM,3.109773635864258,0.7167779207229614,0.0
9,2,0.5,FGSM,3.5086891651153564,0.5715336203575134,0.0
9,3,0.5,FGSM,3.820378541946411,0.28234606981277466,0.0
9,4,0.5,FGSM,2.7205896377563477,0.5844932794570923,0.0
9,0,0.7,FGSM,2.7572762966156006,0.5573756694793701,0.0
9,1,0.7,FGSM,2.8578827381134033,0.687208354473114,0.0
9,2,0.7,FGSM,3.5820181369781494,0.5305123329162598,0.0
9,3,0.7,FGSM,3.74027943611145,0.24109655618667603,0.0
9,4,0.7,FGSM,3.2244272232055664,0.48504674434661865,0.0
9,0,1.0,FGSM,2.8397409915924072,0.5512655973434448,0.20000000298023224
9,1,1.0,FGSM,2.7462589740753174,0.6865323781967163,0.20000000298023224
9,2,1.0,FGSM,3.3323187828063965,0.39658844470977783,0.20000000298023224
9,3,1.0,FGSM,3.7815451622009277,0.21458102762699127,0.20000000298023224
9,4,1.0,FGSM,3.356334686279297,0.3670569062232971,0.20000000298023224
9,0,0.001,PGD,3.1636083126068115,0.7331479787826538,0.0
9,1,0.001,PGD,1.9127349853515625,0.7790062427520752,0.0
9,2,0.001,PGD,2.264820098876953,0.7560533285140991,0.0
9,3,0.001,PGD,2.2425808906555176,0.7951726317405701,0.0
9,4,0.001,PGD,0.05814032256603241,0.9997559785842896,0.0
9,0,0.01,PGD,3.1801772117614746,0.7263438701629639,0.0
9,1,0.01,PGD,2.006152629852295,0.786754310131073,0.0
9,2,0.01,PGD,2.5161993503570557,0.7602881193161011,0.0
9,3,0.01,PGD,2.128185510635376,0.7970819473266602,0.0
9,4,0.01,PGD,1.0957343578338623,0.9603652358055115,0.0
9,0,0.05,PGD,3.030048131942749,0.7444839477539062,0.0
9,1,0.05,PGD,2.6442348957061768,0.7391794323921204,0.0
9,2,0.05,PGD,2.9553611278533936,0.7269687652587891,0.0
9,3,0.05,PGD,2.1482129096984863,0.7861074805259705,0.0
9,4,0.05,PGD,2.906278610229492,0.8124571442604065,0.0
9,0,0.1,PGD,2.993908643722534,0.7358897924423218,0.0
9,1,0.1,PGD,3.196754217147827,0.6961331367492676,0.0
9,2,0.1,PGD,3.326421022415161,0.6827489733695984,0.0
9,3,0.1,PGD,2.177116632461548,0.7672477960586548,0.0
